column,var_val,desc
hrmonth,1,MIN VALUE
hrmonth,12,MAX VALUE
hryear4,1998,MIN VALUE
hryear4,2999,MAX VALUE
hurespli,0,MIN VALUE
hurespli,99,MAX VALUE
hufinal,1,FULLY COMPLETE CATI INTERVIEW
hufinal,2,PARTIALLY COMPLETED CATI INTERVIEW
hufinal,3,COMPLETE BUT PERSONAL VISIT REQUESTED NEXT MONTH
hufinal,4,"PARTIAL ,  NOT COMPLETE AT CLOSEOUT"
hufinal,5,"LABOR FORCE COMPLETE ,  SUPPLEMENT INCOMPLETE  -  CATI"
hufinal,6,"LF COMPLETE ,  SUPPLEMENT DK ITEMS INCOMPLETE AT CLOSEOUT  ASEC ONLY"
hufinal,20,HH OCCUPIED ENTIRELY BY ARMED FORCES MEMBERS OR ALL UNDER 15 YEARS OF AGE
hufinal,201,CAPI COMPLETE
hufinal,202,CALLBACK NEEDED
hufinal,203,SUFFICIENT PARTIAL  -  PRECLOSEOUT
hufinal,204,SUFFICIENT PARTIAL  -  AT CLOSEOUT
hufinal,205,"LABOR FORCE COMPLETE , -  SUPPL .  INCOMPLETE  -  CAPI"
hufinal,213,LANGUAGE BARRIER
hufinal,214,UNABLE TO LOCATE
hufinal,216,NO ONE HOME
hufinal,217,TEMPORARILY ABSENT
hufinal,218,REFUSED
hufinal,219,OTHER OCCUPIED  -  SPECIFY
hufinal,223,ENTIRE HOUSEHOLD ARMED FORCES
hufinal,224,ENTIRE HOUSEHOLD UNDER 15
hufinal,225,TEMP .  OCCUPIED W / PERSONS WITH URE
hufinal,226,VACANT REGULAR
hufinal,227,VACANT  -  STORAGE OF HHLD FURNITURE
hufinal,228,"UNFIT ,  TO BE DEMOLISHED"
hufinal,229,"UNDER CONSTRUCTION ,  NOT READY"
hufinal,230,CONVERTED TO TEMP BUSINESS OR STORAGE
hufinal,231,UNOCCUPIED TENT OR TRAILER SITE
hufinal,232,PERMIT GRANTED  -  CONSTRUCTION NOT STARTED
hufinal,233,OTHER  -  SPECIFY
hufinal,240,DEMOLISHED
hufinal,241,HOUSE OR TRAILER MOVED
