column,desc
hrhhid,Household Identifier
hrmonth,Month of Interview
hryear4,Year of Interview
hurespli,Line number of the current respondent
hufinal,Final Outcome Code. Outcome codes between 001 and 020 are for CATI. All other outcome codes are for CAPI.
hetenure,Are your living quarters... (Read answer categories)
hehousut,Type of housing unit
hetelhhd,Is there a telephone in this house/apartment?
hetelavl,Is there a telephone elsewhere on which people in this household can be contacted?
hephoneo,Is a telephone interview acceptable?
hefaminc,"Family income (combined income of all family members during the last 12 months, including money from jobs, net income from business, farm or rent, pensions, dividends, interest, social security payments and any other money income received by family members who are 15 years of age or older). Note: Caution should be used when using this variable since it has an allocation rate of approximately 20 percent."
hutypea,Type A non-interview reason
hutypb,Type B non-interview reason
hutypc,Type C non-interview reason
hwhhwgt,Household weight (4 implied decimal places) used for tallying household characteristics
hrintsta,Interview status
hrnumhou,Total number of persons living in the household (household members)
hrhtype,Household type
hrmis,Month-in-sample
huinttyp,Type of interview
huprscnt,Number of actual and attempted personal contacts.
hrhhid2,Household Identifier (Part 2).
hwhhwtln,Line number (PULINENO) of the person whose PWSSWGT was donated as HWHHWGT for the household.
hubus,Does anyone in this household have a business or farm?
hubusl1,Enter line number for HUBUS = 1.
hubusl2,See BUSL1.
hubusl3,See BUSL1.
hubusl4,See BUSL1.
gereg,Region.
gediv,Division.
gestfips,Federal Information Processing Standards (FIPS) state code.
gtcbsa,Specific metropolitan CBSA code (see Geographic Attachment).
gtco,FIPS county code.
gtcbsast,Principal city/balance status.
gtmetsta,Metropolitan status.
gtindvpc,Individual principal city.
gtcbsasz,Metropolitan Area (CBSA) Size.
gtcsa,Consolidated Statistical Area (CSA) FIPS Code (see Geographic Attachment).
perrp,Relationship to reference person.
prtage,Person's age. Note: This variable was labeled as PEAGE in prior versions of this documentation even though it contained the public use version of age that was topcoded and underwent further masking steps to protect the confidentiality of individuals in the sample.
prtfage,Top code flag for age
pemaritl,Marital status
pespouse,Line number of spouse
pesex,Sex
peafever,Did you ever serve on active duty in the U.S. Armed Forces?
peafnow,Are you now in the Armed Forces?
peeduca,Highest level of school completed or degree received
ptdtrace,Race
prdthsp,Detailed Hispanic origin group (Revised January 2014)
puchinhh,Change in household composition
pulineno,Person's line number
prfamnum,Family number recode
prfamrel,Family relationship recode
prfamtyp,Family type recode
pehspnon,Hispanic or non-Hispanic
prmarsta,Marital status based on Armed Forces participation
prpertyp,Type of person record recode
penatvty,Country of birth
pemntvty,Mother's country of birth
pefntvty,Father's country of birth
prcitshp,Citizenship status
prcitflg,Citizenship allocation flag
prinusyr,Immigrant's year of entry
puslfprx,Labor force information collected by self or proxy response
pemlr,Monthly labor force recode
puwk,"Last week, did you do any work for (either) pay (or profit)?"
pubus1,"Last week, did you do any unpaid work in the family business or farm?"
pubus2ot,Do you receive any payments or profits from the business?
pubusck1,Check item 1 filter for questions on unpaid work
pubusck2,Check item 2 skips owners of family business who did not work last week
pubusck3,Check item 3
pubusck4,Check item 4
puretot,"Retirement status (last month you were reported to be retired, are you still retired this month?)"
pudis,Disability status (last month you were reported to have a disability.) Does your disability continue to prevent you from doing any kind of work for the next 6 months?
peret1,"Do you currently want a job, either full or part-time?"
pudis1,Does your disability prevent you from accepting any kind of work during the next six months?
pudis2,Do you have a disability that prevents you from accepting any kind of work during the next six months?
puabsot,Last week did you have a job either full or part-time?
pulay,"Last week, were you on layoff from a job?"
peabsrsn,What is the main reason you were absent from work last week?
peabspdo,Are you being paid by your employer for any of the time off last week?
pemjot,Do you have more than one job?
pemjnum,"Altogether, how many jobs did you have?"
pehrusl1,How many hours per week do you usually work at your main job?
pehrusl2,How many hours per week do you usually work at your other job(s)?
pehrftpt,Do you usually work 35 hours or more per week?
pehruslt,Sum of HRUSL1 and HRUSL2.
pehrwant,Do you want to work a full-time work week of 35 hours or more per week?
pehrrsn1,What is your main reason for working part-time?
pehrrsn2,What is the main reason you do not want to work full-time?
pehrrsn3,What is the main reason you worked less than 35 hours last week?
puhroff1,"Last week, did you lose or take off any hours from your job, for any reason such as illness, slack work, vacation, or holiday?"
puhroff2,How many hours did you take off?
puhrot1,"Last week, did you work any overtime or extra hours (at your main job) that you do not usually work?"
puhrot2,How many additional hours did you work?
pehract1,"Last week, how many hours did you actually work at your job?"
pehract2,"Last week, how many hours did you actually work at your other job(s)?"
pehractt,Sum of PEHRACT1 and PEHRACT2.
pehravl,"Last week, could you have worked full-time if the hours had been available?"
puhrck1,Check item 1 (if PEHRACTT is greater than PEHRUSLT).
puhrck2,Check item 2 skips persons responding yes to HRFTPT out of PT series.
